category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Endocrine and metabolic disease,hsa04932,Non-alcoholic fatty liver disease,51/222,82/1700,0.6219512195121951,4.76268951878708,13.531689094649213,4.4296794234660645e-27,6.954596694841721e-25,6.1549229883949535e-25,1337/1347/7381/1327/4694/1351/1340/1345/10975/27089/4725/4708/4697/1350/4707/7388/1349/1329/54205/51079/29796/4709/4715/126328/4716/9377/4696/4718/4710/4726/54539/4713/7386/4728/4729/4714/55967/4700/4711/9167/4712/4722/4698/6392/4695/4717/6391/4702/7384/4706/4731,51
Metabolism,Energy metabolism,hsa00190,Oxidative phosphorylation,64/222,138/1700,0.463768115942029,3.5513774644209426,12.114617409236928,3.0708619572433e-24,2.4106266364359907e-22,2.133440938716398e-22,245972/8992/1337/1347/7381/1327/4694/1351/1340/1345/10975/27089/10063/4725/533/9296/9550/4708/4697/1350/4707/7388/1349/1329/54205/51079/29796/4709/9114/4715/126328/4716/9377/4696/537/4718/4710/4726/10312/54539/4713/7386/529/4728/4729/4714/55967/4700/4711/9167/4712/4722/4698/523/6392/4695/526/4717/6391/4702/51382/7384/4706/4731,64
Human Diseases,Neurodegenerative disease,hsa05020,Prion disease,51/222,101/1700,0.504950495049505,3.8667380251538668,11.50960506489351,2.948889023680391e-21,1.543251922392738e-19,1.3658012320203918e-19,1337/1347/7381/1327/4694/1351/1340/1345/10975/27089/4725/4708/4697/1350/4707/7388/1349/1329/54205/51079/29796/4709/4715/126328/4716/9377/4696/4718/4710/4726/54539/4713/7386/4728/4729/4714/55967/4700/4711/9167/4712/4722/4698/6392/4695/4717/6391/4702/7384/4706/4731,51
Human Diseases,Neurodegenerative disease,hsa05014,Amyotrophic lateral sclerosis,53/222,110/1700,0.4818181818181818,3.68959868959869,11.301113184497117,7.107104037458776e-21,2.7895383347025693e-19,2.468783507748838e-19,1337/1347/7381/1327/4694/1351/1340/1345/10975/27089/2876/4725/4708/4697/1350/4707/7388/1349/1329/54205/51079/29796/4709/4715/126328/4716/9377/4696/4718/4710/4726/54539/4713/7386/4728/847/4729/4714/55967/4700/4711/9167/4712/4722/4698/6392/4695/4717/6391/4702/7384/4706/4731,53
Human Diseases,Neurodegenerative disease,hsa05012,Parkinson disease,51/222,103/1700,0.49514563106796117,3.791655733403306,11.325671844960862,9.3663771488243e-21,2.94104242473083e-19,2.602866912936437e-19,1337/1347/7381/1327/4694/1351/1340/1345/10975/27089/4725/4708/4697/1350/4707/7388/1349/1329/54205/51079/29796/4709/4715/126328/4716/9377/4696/4718/4710/4726/54539/4713/7386/4728/4729/4714/55967/4700/4711/9167/4712/4722/4698/6392/4695/4717/6391/4702/7384/4706/4731,51
Human Diseases,Cancer: overview,hsa05208,Chemical carcinogenesis - reactive oxygen species,60/222,140/1700,0.42857142857142855,3.281853281853282,10.920069315910379,2.0275297459515885e-20,5.305369501906656e-19,4.695332043256311e-19,1728/653689/4259/1337/1347/7381/9446/1327/4694/1351/1340/1345/10975/27089/4725/4708/4697/1350/4707/1646/7388/1349/1329/5337/51079/29796/4709/4715/126328/4716/9377/4696/4718/4710/4257/4726/54539/4713/7386/4728/847/4729/4714/55967/4700/4711/10327/9167/4712/4722/4698/6392/4695/4717/6391/4702/4258/7384/4706/4731,60
Human Diseases,Neurodegenerative disease,hsa05022,Pathways of neurodegeneration - multiple diseases,54/222,117/1700,0.46153846153846156,3.5343035343035343,11.006444862863551,3.6954271979996465e-20,8.288315286942064e-19,7.335284062194788e-19,1337/1347/7381/1327/4694/1351/1340/1345/10975/27089/2876/4725/4708/4697/1350/4707/7388/1349/1329/54205/51079/29796/4709/4715/126328/4716/9377/4696/4718/4710/4726/54539/4713/7386/4728/847/4729/4714/55967/4700/4711/9167/4712/4722/4698/6392/4695/4717/6391/4702/7384/3028/4706/4731,54
Human Diseases,Neurodegenerative disease,hsa05016,Huntington disease,52/222,110/1700,0.4727272727272727,3.61998361998362,11.008605687334434,5.462278745630508e-20,1.0719722038299871e-18,9.487115716095092e-19,1337/1347/7381/1327/4694/1351/1340/1345/10975/27089/2876/4725/4708/4697/1350/4707/7388/1349/1329/54205/51079/29796/4709/4715/126328/4716/9377/4696/4718/4710/4726/54539/4713/7386/4728/4729/4714/55967/4700/4711/9167/4712/4722/4698/6392/4695/4717/6391/4702/7384/4706/4731,52
Human Diseases,Neurodegenerative disease,hsa05010,Alzheimer disease,52/222,112/1700,0.4642857142857143,3.5553410553410556,10.840981280715573,1.5381227007361781e-19,2.6831696001731107e-18,2.3746455730663803e-18,1337/1347/7381/1327/4694/1351/1340/1345/10975/27089/4725/4708/4697/1350/4707/7388/1349/1329/54205/51079/29796/4709/4715/126328/4716/9377/4696/4718/4710/4726/54539/4713/7386/4728/4729/4714/55967/4700/4711/9167/4712/4722/4698/6392/4695/4717/6391/4702/7384/3028/4706/4731,52
Organismal Systems,Environmental adaptation,hsa04714,Thermogenesis,53/222,130/1700,0.4076923076923077,3.121968121968122,9.754312496152455,8.879496976087075e-17,1.3940810252456706e-15,1.2337827377299938e-15,23305/1337/1347/7381/1327/4694/1351/1340/1345/10975/27089/10063/4725/4708/4697/1350/4707/7388/1349/1329/51079/29796/4709/4715/126328/4716/9377/4696/4718/4710/4726/54539/4713/7386/4728/4729/4714/55967/4700/4711/9167/2180/4712/4722/4698/6392/4695/4717/6391/4702/7384/4706/4731,53
Human Diseases,Cardiovascular disease,hsa05415,Diabetic cardiomyopathy,50/222,118/1700,0.423728813559322,3.244770193922736,9.793673260498764,1.1489890221352406e-16,1.6399206952293888e-15,1.4513545542760933e-15,1337/1347/7381/1327/4694/1351/1340/1345/10975/27089/4725/4708/4697/1350/4707/7388/1349/1329/51079/29796/4709/4715/126328/4716/9377/4696/4718/4710/4726/54539/4713/7386/4728/4729/4714/55967/4700/4711/9167/4712/4722/4698/6392/4695/4717/6391/4702/7384/4706/4731,50
Organismal Systems,Nervous system,hsa04723,Retrograde endocannabinoid signaling,30/222,63/1700,0.47619047619047616,3.6465036465036467,8.293815907406573,8.498573609675708e-12,1.1118967139325719e-10,9.840453653308717e-11,4694/4725/4708/4697/4707/51079/4709/4715/126328/4716/4696/4718/4710/4726/54539/4713/4728/4729/4714/55967/4700/4711/4712/4722/4698/4695/4717/4702/4706/4731,30
Organismal Systems,Circulatory system,hsa04260,Cardiac muscle contraction,18/222,31/1700,0.5806451612903226,4.446381865736704,7.50329522659979,2.770058430678602e-9,3.345378258588773e-8,2.960710225502636e-8,1337/1347/7381/1327/1351/1340/1345/10975/27089/1350/7388/1349/1329/29796/9377/7386/9167/7384,18
Human Diseases,Immune disease,hsa05323,Rheumatoid arthritis,13/222,26/1700,0.5,3.828828828828829,5.631856443525182,5.000110890512739e-6,5.6072672129321425e-5,4.96251607178708e-5,245972/8992/54/533/9296/9550/9114/537/10312/529/523/526/51382,13
Human Diseases,Infectious disease: bacterial,hsa05120,Epithelial cell signaling in Helicobacter pylori infection,12/222,27/1700,0.4444444444444444,3.4034034034034035,4.877491745249678,5.2913550931122297e-5,5.538284997457468e-4,4.901465770461856e-4,245972/8992/533/9296/9550/9114/537/10312/529/523/526/51382,12
Organismal Systems,Nervous system,hsa04721,Synaptic vesicle cycle,11/222,24/1700,0.4583333333333333,3.5097597597597594,4.797740178893629,7.80195144667028e-5,7.655664857045213e-4,6.775378887897876e-4,245972/8992/533/9296/9550/9114/10312/529/523/526/51382,11
Cellular Processes,Transport and catabolism,hsa04145,Phagosome,12/222,29/1700,0.41379310344827586,3.168685927306617,4.563976451579426,1.239353506606134e-4,0.0010809916696509058,9.566939349240334e-4,245972/8992/533/9296/9550/9114/537/10312/529/523/526/51382,12
