gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NME1,12.611065998709982,0.904285410944616,0.14280114370595523,6.332480171213815,2.4125129988481915e-10,1.901060243092375e-7
NANS,16.4083398186647,0.8618687931294996,0.1537749488753149,5.604741210665772,2.0856634977365316e-8,6.17439138255607e-6
NDUFAB1,13.182209609873537,0.8085427279363615,0.1447966589643938,5.583987460202283,2.350656617724392e-8,6.17439138255607e-6
ST6GAL1,11.839532044396716,1.0356627948168091,0.18871313116422664,5.48802718935085,4.0644751449412614e-8,8.007016035534284e-6
NDUFB3,12.219232636221083,0.7617054919129846,0.14250249788906946,5.345208001237504,9.031328174594181e-8,1.4233373203160428e-5
ATP6V0B,25.461946468563323,0.8654215452043263,0.1646942101947631,5.254717480237473,1.4825186840575792e-7,1.473685381968392e-5
ACP1,11.353060767740537,0.7009398506344839,0.13398939243657293,5.23130852292125,1.6831432027557775e-7,1.473685381968392e-5
TPI1,19.231020405776995,0.8538010970264845,0.162627233251507,5.2500499452392475,1.5205797624182374e-7,1.473685381968392e-5
COX5A,32.57372743861884,0.9055031387860734,0.17303091619735042,5.233186985806061,1.6661204010398203e-7,1.473685381968392e-5
AKR1A1,16.4769201828485,0.6444862263383624,0.12648750715456877,5.095255972993403,3.4827036466363213e-7,2.699243762911193e-5
LAP3,8.873496037704186,0.7161298264221435,0.1409615360662161,5.080320819473367,3.7679798720841525e-7,2.699243762911193e-5
NDUFV2,18.187942513229714,0.8056491903232355,0.160323307719903,5.025153246780349,5.030306894440058e-7,3.3032348606823053e-5
ALG5,19.274569890545525,0.8151004548102846,0.16369161731941764,4.979488065169203,6.375268406362054e-7,3.86439346477946e-5
PLPP5,29.89131851276664,0.8079996994060231,0.16312345922242585,4.9533016480743015,7.296473089046807e-7,4.106871995834917e-5
VKORC1,11.945928320762738,0.6984180832541138,0.14374448825873554,4.858746875894005,1.1813104444346302e-6,6.205817534763257e-5
CYC1,10.47751451492949,0.7306557859529295,0.15178770814647705,4.813669004395517,1.4818416968587324e-6,6.63400462875655e-5
NDUFS8,14.038062184066955,0.7336098900928155,0.15245584526830905,4.81194990458861,1.4946482281453224e-6,6.63400462875655e-5
APRT,19.409996449626377,0.7316026047198024,0.15212574551128,4.809196512141692,1.5153817679900747e-6,6.63400462875655e-5
NDUFS7,11.685844042498331,0.7390738426655424,0.15506885207682267,4.7661012045113855,1.8782494166359299e-6,7.789792317416383e-5
ALDOA,26.904790947121427,0.8093908176411796,0.17022750430639258,4.75475934949006,1.986829387746421e-6,7.828107787720897e-5
COX7B,23.665387071776298,0.7758450030977073,0.16394261977177543,4.73241798976838,2.2186095287449804e-6,8.325068136433545e-5
SRM,16.951854258738074,0.8769496527067142,0.18872480625221247,4.646711103439978,3.3726897245727043e-6,1.1233387934633571e-4
ALG3,6.324738216822934,0.7357243794412938,0.15843308202751843,4.643754764005064,3.4213364267919504e-6,1.1233387934633571e-4
MGAT1,12.819217696306286,0.6337109423659233,0.13610265927898746,4.656124617425166,3.2221694703327135e-6,1.1233387934633571e-4
NDUFB11,37.26712627265608,0.8452882066439829,0.18530326546608553,4.561647656439647,5.0753765189498055e-6,1.4330501293862108e-4
NDUFC2,18.27681562004892,0.7143734451091525,0.15675030988916538,4.557397338571578,5.179139074688259e-6,1.4330501293862108e-4
PPA1,14.708244423273026,0.7609665325987168,0.1671136925821696,4.5535857705050145,5.273915450786816e-6,1.4330501293862108e-4
TECR,20.57325710351462,0.7229526559930605,0.1579432201384197,4.577294646515835,4.710277988473115e-6,1.4330501293862108e-4
NDUFB7,27.346634285723702,0.699203420874604,0.15336641355005157,4.559038740554606,5.1388292059128955e-6,1.4330501293862108e-4
ATP6V1G1,26.780457833252868,0.7617548544928036,0.1687757888019832,4.513413090230229,6.379259767791051e-6,1.6463491334576237e-4
HAGH,8.387284287222903,0.6208855545510128,0.13766263330862227,4.51019670064763,6.4767542052266925e-6,1.6463491334576237e-4
ATP6V1F,14.553075424750643,0.5996054044557537,0.13329038942047705,4.498489403945262,6.843800685923067e-6,1.6852859189085554e-4
UQCR10,18.64400365317612,0.7125530040299822,0.1587978663633,4.487169886777908,7.217552111179431e-6,1.7234639586695126e-4
NDUFB5,9.81240030817685,0.6517345022351831,0.1455939222444103,4.476385361341584,7.59174022081653e-6,1.759497439412772e-4
GUK1,35.2570010461549,0.7440070537164172,0.1669738666312894,4.455829338607392,8.356949443602817e-6,1.8815074747311486e-4
PYCR1,5.674688550630388,0.7045350458932044,0.1588153902262824,4.436188740205675,9.156557282169792e-6,2.0042686495416102e-4
NDUFA2,16.086767234909914,0.6723719345892495,0.15390199311190209,4.368831884460184,1.2491287603067864e-5,2.660306657085805e-4
NDUFS5,23.2397736374632,0.7160406679282868,0.1646800100013308,4.3480727741181235,1.3733903663592127e-5,2.7759704421954315e-4
ODC1,9.154054019051783,0.675486917521926,0.15555487256856548,4.342434964383291,1.4091220518758537e-5,2.7759704421954315e-4
IDH2,20.574110357812614,0.8568830882354441,0.19712272207801704,4.346952391902887,1.3804216698683144e-5,2.7759704421954315e-4
ADI1,10.57723874790682,0.6128907009935475,0.14171859264707032,4.32470214067016,1.527380943993202e-5,2.9355516679674225e-4
NDUFB9,12.616849261818214,0.6639585492484503,0.15455751500789555,4.295867135380199,1.7401178639607476e-5,3.264792563812069e-4
COX7A2,58.190959000728974,0.8764450191146468,0.20498688231677017,4.275615147706181,1.9061025061862327e-5,3.2717497749601036e-4
NDUFB6,10.562350732454648,0.6339723615065872,0.14795592933154222,4.284872964340421,1.828436348483127e-5,3.2717497749601036e-4
NDUFB10,19.59804997542325,0.7248586577155057,0.16952237514556295,4.275887811818911,1.9037708141265093e-5,3.2717497749601036e-4
NDUFV3,7.190029209458308,0.6453191071730886,0.1509457927831291,4.275171207323736,1.909904690966558e-5,3.2717497749601036e-4
QPRT,6.171736469822021,0.7655354739298145,0.17992872096119944,4.254659677678127,2.0936720685723685e-5,3.5102416809255877e-4
