category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Endocrine and metabolic disease,hsa04932,Non-alcoholic fatty liver disease,11/71,82/1700,0.13414634146341464,3.2119546547578155,4.285082708245582,4.0174107375256384e-4,0.02654952611059986,0.023195901759787245,29796/4731/4709/27089/4717/4728/4705/7384/1329/4726/6392,11
Metabolism,Global and overview maps,hsa01200,Carbon metabolism,13/71,115/1700,0.11304347826086956,2.7066748315982854,3.9559463444734506,6.426528112203836e-4,0.02654952611059986,0.023195901759787245,2597/2203/226/7167/2746/5223/2023/5315/5230/113675/2821/3418/6392,13
Metabolism,Global and overview maps,hsa01230,Biosynthesis of amino acids,10/71,75/1700,0.13333333333333333,3.192488262910798,4.053279458938637,7.964857833179957e-4,0.02654952611059986,0.023195901759787245,2597/226/7167/5223/2023/5315/5230/586/113675/3418,10
Metabolism,Carbohydrate metabolism,hsa00010,Glycolysis / Gluconeogenesis,9/71,67/1700,0.13432835820895522,3.216312802186252,3.8631421213272747,0.0014099625109390218,0.03128020933160528,0.02732902499498146,2597/2203/226/7167/5223/2023/5315/5230/2821,9
Human Diseases,Neurodegenerative disease,hsa05010,Alzheimer disease,12/71,112/1700,0.10714285714285714,2.5653923541247483,3.5774394528735756,0.0017275705179557166,0.03128020933160528,0.02732902499498146,2597/29796/4731/4709/27089/4717/4728/4705/7384/1329/4726/6392,12
Organismal Systems,Environmental adaptation,hsa04714,Thermogenesis,13/71,130/1700,0.1,2.3943661971830985,3.4527411237838725,0.0020772813127390133,0.03128020933160528,0.02732902499498146,11343/1374/29796/4731/4709/27089/4717/4728/4705/7384/1329/4726/6392,13
Human Diseases,Neurodegenerative disease,hsa05020,Prion disease,11/71,101/1700,0.10891089108910891,2.607725561288523,3.477072076814901,0.0024004213454561097,0.03128020933160528,0.02732902499498146,29796/4731/4709/27089/4717/4728/4705/7384/1329/4726/6392,11
Human Diseases,Cardiovascular disease,hsa05415,Diabetic cardiomyopathy,12/71,118/1700,0.1016949152542373,2.4349486751014564,3.3724028940275748,0.0027248059598989237,0.03128020933160528,0.02732902499498146,2597/29796/4731/4709/27089/4717/4728/4705/7384/1329/4726/6392,12
Human Diseases,Neurodegenerative disease,hsa05012,Parkinson disease,11/71,103/1700,0.10679611650485436,2.5570901134965127,3.4028689430698726,0.0028152188398444756,0.03128020933160528,0.02732902499498146,29796/4731/4709/27089/4717/4728/4705/7384/1329/4726/6392,11
Human Diseases,Cancer: overview,hsa05208,Chemical carcinogenesis - reactive oxygen species,13/71,140/1700,0.09285714285714286,2.2233400402414487,3.153655360961608,0.004066157621245001,0.03956806169165459,0.0345699907411298,1545/873/29796/4731/4709/27089/4717/4728/4705/7384/1329/4726/6392,13
Human Diseases,Neurodegenerative disease,hsa05014,Amyotrophic lateral sclerosis,11/71,110/1700,0.1,2.3943661971830985,3.1560214623068026,0.0047481674029985505,0.03956806169165459,0.0345699907411298,29796/4731/4709/27089/4717/4728/4705/7384/1329/4726/6392,11
Human Diseases,Neurodegenerative disease,hsa05016,Huntington disease,11/71,110/1700,0.1,2.3943661971830985,3.1560214623068026,0.0047481674029985505,0.03956806169165459,0.0345699907411298,29796/4731/4709/27089/4717/4728/4705/7384/1329/4726/6392,11
