"PathwayID","PathwayName","GeneCountFromInput","InputGeneSymbolsInPathway"
"hsa01040","Biosynthesis of unsaturated fatty acids",1,"ACOT7"
"hsa00062","Fatty acid elongation",1,"ACOT7"
