gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ATP6V0E1,99.35998049900687,0.6892310116915107,0.08674826237031705,7.945185215921365,1.9390084540582375e-15,1.7295955410199478e-12
IDS,48.693600541464384,0.8096425084500803,0.10766462847303918,7.520041818124389,5.4758724667688684e-14,2.4422391201789152e-11
GAPDH,259.9234142467877,0.8282963504394549,0.1162423682564925,7.1255976875126334,1.0363000164511025e-12,3.0812653822479445e-10
HPGD,3.0540329275748213,-1.671263212093178,0.24405959915228032,-6.847766766388885,7.5011727409108425e-12,1.672761521223118e-9
PKM,51.12233798107488,0.6016290048947222,0.08860270787750597,6.79018756093188,1.1198785551381163e-11,1.9978633423663995e-9
TPI1,58.522566284317286,0.6285002515032246,0.09302121302314273,6.756526076980529,1.4133955198589049e-11,2.1012480061902385e-9
GPX1,67.63337182809981,0.5668103986825477,0.08740620142142042,6.484784711667391,8.885857595748411e-11,9.907731219259478e-9
LDHB,75.40694104343345,0.5726982024018548,0.08829933344231715,6.485872317212659,8.821985520661587e-11,9.907731219259478e-9
COX6B1,99.28459972654811,0.48240085435706914,0.07560086542791064,6.380890636986999,1.7606101018414722e-10,1.744960234269548e-8
NDUFA4,101.43397406211972,0.5309038035132568,0.08402983641154485,6.318039236838453,2.649027656579736e-10,2.3629326696691244e-8
COX5B,74.58015896328297,0.4605797707827258,0.07403155227406497,6.221398263778915,4.927436231451859e-10,3.995702834959144e-8
NDUFB2,46.31941397500186,0.5375737963057494,0.08817412485550603,6.096729592572538,1.0826041950937828e-9,8.047357850197118e-8
UQCRH,121.41270360708839,0.5548769717014465,0.09234755406189907,6.008572477507324,1.8716394367015474e-9,1.2842325981059848e-7
LPIN1,27.3550935118207,0.9485081249419433,0.1596525106235677,5.941078666644693,2.831526852536561e-9,1.7587810252633882e-7
COX8A,53.227246970863526,0.5481327832783252,0.09237256433404133,5.933934899719203,2.9575914101962802e-9,1.7587810252633882e-7
ACP5,31.994742727896156,0.6525002184729718,0.11347144619906739,5.750347248842367,8.906033712118432e-9,4.965113794506026e-7
SAT1,228.4358765791007,0.6420129555507481,0.11221468578432969,5.721291745936542,1.057171837065308e-8,5.547042815660321e-7
COX6A1,71.01313514657497,0.44767649035511053,0.07884229429767196,5.67812611673744,1.3617829987130713e-8,6.748391304733664e-7
NDUFS5,48.54337029389981,0.5754841475539332,0.1020293223803454,5.640379982223547,1.6967530252354434e-8,7.567518492550078e-7
GSTK1,49.942838148408434,0.5383834934658069,0.09537988033755436,5.644623284915432,1.655433213534678e-8,7.567518492550078e-7
NDUFB5,30.722996622678455,0.4585396266735352,0.0818141139933526,5.604651866190124,2.0867395745960583e-8,8.460780456998564e-7
GPX4,71.88880596193611,0.48800247750897824,0.08696625351394338,5.611400489164873,2.0069568617618145e-8,8.460780456998564e-7
PRDX6,32.59759436939819,0.5990083139780253,0.10764722517277625,5.564549508978084,2.6283050289216545e-8,1.0193252546948328e-6
PGAM1,27.43732475853923,0.47910664065203684,0.08702508160712288,5.505385709547242,3.6836087274447434e-8,1.3690745770336295e-6
CYCS,82.79756726391795,0.5120546726374464,0.09362353737537997,5.469294228697885,4.518311464009361e-8,1.5960404196044142e-6
ALDOA,86.45396320645274,0.4569156666404813,0.08362111737353392,5.464118167656715,4.652135752210176e-8,1.5960404196044142e-6
COX6C,90.81077081279753,0.45352505355089034,0.08331354072848964,5.443593557365212,5.2216288433561505e-8,1.72507145491618e-6
UQCR10,46.27992813853382,0.47186770509397713,0.08744921358760134,5.395905643237015,6.81787712941668e-8,2.1719808569427423e-6
COX7A2L,44.74779894518497,0.5030312378907864,0.09340442660730446,5.385518183261864,7.22362314233171e-8,2.2218868423999607e-6
INPP5D,54.26009448365743,0.5076372866433707,0.09762318408708882,5.199966497615072,1.9932445096177593e-7,5.926580341930138e-6
GUK1,51.45079428305227,0.45979671410939166,0.09065749661042864,5.07180025150286,3.940699034562413e-7,1.1339043673644104e-5
COX7C,252.02393183599352,0.5025753532689669,0.09976248549610357,5.037718845613524,4.7111276799188656e-7,1.3132268407773838e-5
CARNS1,2.4583733281133235,-1.1957865383306294,0.23771251646370564,-5.03038946421319,4.894845185929496e-7,1.3230914866209427e-5
ATP6V1F,45.4254095297003,0.4616567353081958,0.09216203340035962,5.009185651348643,5.466082661693136e-7,1.4340428630089052e-5
COX7A2,89.2157823631749,0.3925655773023136,0.0786230682944655,4.993007597109352,5.944621825680863e-7,1.515029333859237e-5
UQCRB,220.22150526703734,0.4940661290123581,0.09929719573725644,4.975630231488841,6.503569180826984e-7,1.611439919249353e-5
ATP6V1G1,109.62169286824535,0.4297684340888097,0.08679687793582432,4.951427335975966,7.367112797017925e-7,1.7293327934052602e-5
COX4I1,265.9868272754974,0.4630905737553532,0.09347478474395608,4.954176412642617,7.26372844642e-7,1.7293327934052602e-5
ADCY2,1.8513826375799678,-1.419305617095825,0.2902502107956057,-4.88993828188914,1.0086759838623068e-6,2.3070230195004556e-05
ST6GAL1,20.30287930301259,0.5865209179220691,0.12020926822787113,4.879165529984328,1.0653562465708114e-6,2.3757444298529096e-5
UQCR11,60.938506240132504,0.5631459377539667,0.11554391036862059,4.873869474880658,1.0943330774549159e-6,2.380841719731183e-5
COX5A,33.50427809923691,0.5331757737054832,0.11049872445058766,4.825175823128225,1.398798126206711e-6,2.970780782324729e-5
NDUFB7,32.00608684155673,0.4545807791175481,0.09441236197158029,4.814843836386432,1.4731504779858544e-6,3.05593075898461e-5
DAD1,40.695850650254975,0.4315177198732705,0.0900100220360534,4.794107479502967,1.6340065773504393e-6,3.3125769704468e-5
