category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Metabolism,Energy metabolism,hsa00190,Oxidative phosphorylation,21/59,138/1700,0.15217391304347827,4.384672070744289,7.862923148232206,1.0614157060590022e-9,1.0826440201801822e-7,8.491325648472018e-8,8992/4729/29796/1329/27089/4695/1340/9296/1350/533/10975/10063/54205/1345/9550/4694/4718/1337/4708/4725/4717,21
Human Diseases,Endocrine and metabolic disease,hsa04932,Non-alcoholic fatty liver disease,16/59,82/1700,0.1951219512195122,5.6221579164944195,8.132626951256768,4.1377370227732775e-9,2.1102458816143716e-7,1.6550948091093112e-07,4729/29796/1329/27089/4695/1340/1350/10975/54205/1345/4694/4718/1337/4708/4725/4717,16
Human Diseases,Neurodegenerative disease,hsa05010,Alzheimer disease,18/59,112/1700,0.16071428571428573,4.6307506053268765,7.536133538664219,9.659257045567128e-9,3.2841473954928234e-7,2.575801878817901e-7,4023/2597/4729/29796/1329/27089/4695/1340/1350/10975/54205/1345/4694/4718/1337/4708/4725/4717,18
Human Diseases,Neurodegenerative disease,hsa05020,Prion disease,16/59,101/1700,0.15841584158415842,4.564524249035073,7.001747310746099,9.820048382003738e-8,2.5041123374109533e-6,1.964009676400748e-6,4729/29796/1329/27089/4695/1340/1350/10975/54205/1345/4694/4718/1337/4708/4725/4717,16
Human Diseases,Neurodegenerative disease,hsa05012,Parkinson disease,16/59,103/1700,0.1553398058252427,4.475892710218857,6.899234740667889,1.31077712236765e-7,2.673985329630006e-6,2.0972433957882404e-6,4729/29796/1329/27089/4695/1340/1350/10975/54205/1345/4694/4718/1337/4708/4725/4717,16
Human Diseases,Neurodegenerative disease,hsa05014,Amyotrophic lateral sclerosis,16/59,110/1700,0.14545454545454545,4.191063174114022,6.559965981688555,3.4115506232937374e-7,4.9711166225137315e-6,3.8989149980499856e-6,4729/29796/1329/27089/4695/1340/1350/10975/54205/1345/4694/4718/1337/4708/4725/4717,16
Human Diseases,Neurodegenerative disease,hsa05016,Huntington disease,16/59,110/1700,0.14545454545454545,4.191063174114022,6.559965981688555,3.4115506232937374e-7,4.9711166225137315e-6,3.8989149980499856e-6,4729/29796/1329/27089/4695/1340/1350/10975/54205/1345/4694/4718/1337/4708/4725/4717,16
Organismal Systems,Environmental adaptation,hsa04714,Thermogenesis,17/59,130/1700,0.13076923076923078,3.7679269882659714,6.2250792527574985,6.597083451224784e-7,8.4112814003116e-6,6.597083451224785e-6,11343/4729/29796/1329/27089/4695/1340/1350/10975/10063/1345/4694/4718/1337/4708/4725/4717,17
Human Diseases,Neurodegenerative disease,hsa05022,Pathways of neurodegeneration - multiple diseases,16/59,117/1700,0.13675213675213677,3.940315804722585,6.247623596323063,8.230775028580008e-7,9.328211699057343e-6,7.316244469848896e-6,4729/29796/1329/27089/4695/1340/1350/10975/54205/1345/4694/4718/1337/4708/4725/4717,16
Human Diseases,Cardiovascular disease,hsa05415,Diabetic cardiomyopathy,16/59,118/1700,0.13559322033898305,3.906923297902902,6.204970790493918,9.281987787890584e-7,9.467627543648395e-6,7.425590230312467e-6,2597/4729/29796/1329/27089/4695/1340/1350/10975/1345/4694/4718/1337/4708/4725/4717,16
Human Diseases,Cancer: overview,hsa05208,Chemical carcinogenesis - reactive oxygen species,17/59,140/1700,0.12142857142857143,3.4987893462469732,5.8505914079328925,1.959543205775712e-6,1.8170309726283877e-5,1.4251223314732452e-5,1545/4729/29796/1329/27089/9446/4695/1340/1350/10975/1345/4694/4718/1337/4708/4725/4717,17
Organismal Systems,Circulatory system,hsa04260,Cardiac muscle contraction,8/59,31/1700,0.25806451612903225,7.435757244395845,6.855209592517404,5.4974344507973616e-6,4.6728192831777575e-5,3.664956300531575e-5,29796/1329/27089/1340/1350/10975/1345/1337,8
Organismal Systems,Nervous system,hsa04723,Retrograde endocannabinoid signaling,8/59,63/1700,0.12698412698412698,3.6588646758138283,4.076717090461081,0.001126317396991257,0.00883725957639294,0.00693118398148466,11343/4729/4695/4694/4718/4708/4725/4717,8
Metabolism,Global and overview maps,hsa01230,Biosynthesis of amino acids,8/59,75/1700,0.10666666666666667,3.073446327683616,3.4814899966562574,0.00353360599066571,0.025744843646278746,0.020192034232375488,2597/2752/7167/3417/5315/3418/226/5223,8
Human Diseases,Cancer: overview,hsa05230,Central carbon metabolism in cancer,5/59,32/1700,0.15625,4.502118644067797,3.791195896970428,0.004157839063512353,0.028273305631884002,0.022175141672065888,3939/3417/5315/3418/5223,5
Human Diseases,Infectious disease: viral,hsa05165,Human papillomavirus infection,5/59,34/1700,0.14705882352941177,4.237288135593221,3.6145290566166084,0.00544710954929517,0.034725323376756705,0.02723554774647585,8992/9296/533/5315/9550,5
Metabolism,Carbohydrate metabolism,hsa00010,Glycolysis / Gluconeogenesis,7/59,67/1700,0.1044776119402985,3.010371869466228,3.182651693175175,0.0071869101593973585,0.04312146095638415,0.033820753691281694,2597/3939/7167/83440/5315/226/5223,7
Organismal Systems,Nervous system,hsa04721,Synaptic vesicle cycle,4/59,24/1700,0.16666666666666666,4.80225988700565,3.556139722664549,0.008272123950168705,0.046875369050955996,0.03676499533408314,8992/9296/533/9550,4
