"PathwayID","PathwayName","GeneCountFromInput","InputGeneSymbolsInPathway"
"hsa00512","Mucin type O-glycan biosynthesis",1,"B4GALT5"
"hsa00600","Sphingolipid metabolism",1,"B4GALT5"
