"","LCAMhi","LCAMlo","difference"
"100",-0.0492229099528398,-0.298482637958307,0.249259728005467
"103",0.597357897816399,-1.40766389112784,2.00502178894424
"104",0.0486957124032022,-0.164560601888277,0.213256314291479
"107",0.574430943792054,-1.4495305786127,2.02396152240475
"108",0.0876514881773465,-0.215523059088932,0.303174547266279
"111",0.639512372023089,-1.44761674136388,2.08712911338697
"112",0.0941990525492154,-0.272321145338283,0.366520197887498
"297",0.0131660373935861,-0.381991091652644,0.395157129046231
"298",0.0695570292645468,-0.556439747288019,0.625996776552566
"310",-0.727757725960127,0.544067717736861,-1.27182544369699
"311",0.541611903808925,-0.0145821014562963,0.556194005265221
"312",-1.07934185735217,0.512686278011387,-1.59202813536356
"313",0.88999163491941,-0.198835865561521,1.08882750048093
"314",-1.07582547489458,0.456178955477663,-1.53200443037225
"315",1.13066467895673,-0.122136439053212,1.25280111800994
"316",-1.48256465965143,0.494078673783456,-1.97664333343488
"317",0.0885968396724287,0.684740394084131,-0.596143554411703
"318",-0.0816134559339248,0.831005205487573,-0.912618661421497
"319",-0.827035959737451,-0.127793817033661,-0.699242142703789
"320",1.58577515615245,-2.16664012313924,3.75241527929169
"323",-0.365629660944492,0.0304702062436627,-0.396099867188155
"324",0.786019603737352,-0.781021090476966,1.56704069421432
"325",-0.927104094874159,0.266950739559748,-1.19405483443391
"326",1.95515800642742,-2.58821495174439,4.54337295817181
"327",-0.773412161558385,-0.604889951913678,-0.168522209644707
"328",-0.277010915903235,-0.1867544939836,-0.0902564219196347
"331",-0.777781393029623,0.697621599970243,-1.47540299299987
"332",-0.698321662170602,0.557321476635952,-1.25564313880655
"333",-1.32120845431188,-0.563337934535601,-0.757870519776279
"334",-0.489064992900799,-0.546115930390303,0.0570509374895046
"335",-0.875881453350231,-0.0638815185282594,-0.811999934821972
"336",0.118655681982472,-0.647460956789549,0.766116638772022
"337",-0.106605585552703,-0.774463111120367,0.667857525567664
"338",0.557986459396585,-0.911933100472993,1.46991955986958
"339",-0.527735168313212,-0.158299332324539,-0.369435835988673
"340",1.58993832816906,-1.03838084960986,2.62831917777892
"341",-0.125249714227164,0.439573431200006,-0.56482314542717
"342",0.0336614362653848,-0.145150399203469,0.178811835468854
"36",0.304239486449414,-0.0810496465677637,0.385289133017178
"37",-1.07176104904922,0.273533352230804,-1.34529440128003
"38",1.07595307060563,-0.522641080519241,1.59859415112487
"39",-0.783034088206241,0.479015002457496,-1.26204909066374
"398",1.4693009379795,-1.0203223450388,2.48962328301829
"399",-0.20940509810196,0.27390215326949,-0.48330725137145
"40",0.582058375616539,-0.206743390006674,0.788801765623213
"41",-0.93803517873745,-0.315452365675361,-0.622582813062089
"413",-0.896588797576847,0.0222730762259986,-0.918861873802845
"414",0.829452131792172,0.244124756699957,0.585327375092215
"415",0.340198491720097,0.219257550730474,0.120940940989623
"42",1.17918517630901,-1.22862892343911,2.40781409974812
"43",0.0894850571638361,1.0130698769974,-0.923584819833563
"44",-0.88323990934109,0.786819406672437,-1.67005931601353
"448",0.892604972099412,0.127919955286941,0.764685016812471
"449",0.0876788253662084,0.571505760632534,-0.483826935266325
"45",0.207633762995169,-0.685052745695057,0.892686508690225
"452",0.846276542048658,0.285284856604827,0.560991685443831
"453",-0.0527047792038317,0.430879479042169,-0.483584258246001
"456",0.827821833163672,0.0674133969986401,0.760408436165032
"457",0.032125228543826,0.426969391433414,-0.394844162889588
"46",-1.1881607037202,0.671223356192946,-1.85938405991315
"460",0.834816219478697,0.076065596964614,0.758750622514083
"461",-0.11989380168935,0.657938982140643,-0.777832783829993
"464",0.809326386260655,0.0419343728740551,0.7673920133866
"465",-0.248626208426799,0.246050983710676,-0.494677192137474
"468",0.85501921626228,0.0120747067303974,0.842944509531882
"469",-0.25063948490214,0.556894491241373,-0.807533976143513
"47",0.935689057128302,-0.347192565750867,1.28288162287917
"472",0.685654023112529,0.0804312169740987,0.60522280613843
"473",-0.107681923882432,0.507606816517647,-0.615288740400079
"48",0.458088782414381,0.782053005593974,-0.323964223179593
"49",-0.515248310802456,0.105174491372364,-0.620422802174821
"50",-0.717432713646282,0.102068245937015,-0.819500959583297
"51",0.488617476159197,0.965701067789077,-0.47708359162988
"52",1.22301696481306,0.115294977151529,1.10772198766153
"53",1.20831048341015,-0.0442986358844612,1.25260911929461
"54",-0.0422218556704343,0.134804277703069,-0.177026133373503
"55",-0.0704085208794942,0.140538888505644,-0.210947409385138
"56",-0.958713616505825,0.258858026279061,-1.21757164278489
"57",-0.995197659247054,0.724790032580284,-1.71998769182734
"58",-0.2192384559239,0.899703438143061,-1.11894189406696
"59",-0.259499448599902,0.74988765296784,-1.00938710156774
"60",-0.829963972242905,1.02695689012435,-1.85692086236726
"61",-0.976350881909788,1.07718767796051,-2.05353855987029
"62",0.403881929261204,0.188570340079654,0.215311589181551
"63",-1.02299595625576,0.807138516043379,-1.83013447229914
"851",0.214504049250198,-0.697360768190825,0.911864817441023
"95",-0.489062437515271,0.742067034237259,-1.23112947175253
"96",-1.14128829977956,0.557849943036899,-1.69913824281646
"97",-0.375917199861553,0.872074826198338,-1.24799202605989
"98",-0.973677329597581,0.536371517810236,-1.51004884740782
"99",0.641786239582884,-1.3912101379087,2.03299637749159
