"ENTREZID","SYMBOL"
"5305","PIP4K2A"
"8396","PIP4K2B"
"10423","CDIPT"
"5277","PIGA"
"5279","PIGC"
"5283","PIGH"
"51227","PIGP"
"9091","PIGQ"
"84992","PIGY"
"9487","PIGL"
"2822","GPLD1"
"284098","PIGW"
"93183","PIGM"
"54965","PIGX"
"55650","PIGV"
"23556","PIGN"
"9488","PIGB"
"84720","PIGO"
"5281","PIGF"
"54872","PIGG"
"8733","GPAA1"
"10026","PIGK"
"94005","PIGS"
"51604","PIGT"
"128869","PIGU"
"80055","PGAP1"
"65258","MPPE1"
"93210","PGAP3"
"27315","PGAP2"
"84302","PGAP4"
"8705","B3GALT4"
"80235","PIGZ"
"23171","GPD1L"
"2819","GPD1"
"2820","GPD2"
"8443","GNPAT"
"142891","SAMD8"
"259230","SGMS1"
"166929","SGMS2"
"5337","PLD1"
"5338","PLD2"
"23646","PLD3"
"122618","PLD4"
"3931","LCAT"
"8399","PLA2G10"
"26279","PLA2G2D"
"30814","PLA2G2E"
"50487","PLA2G3"
"64600","PLA2G2F"
"81579","PLA2G12A"
"84647","PLA2G12B"
"5319","PLA2G1B"
"5322","PLA2G5"
"5320","PLA2G2A"
"391013","PLA2G2C"
"123745","PLA2G4E"
"5321","PLA2G4A"
"8681","JMJD7-PLA2G4B"
"100137049","PLA2G4B"
"8605","PLA2G4C"
"283748","PLA2G4D"
"255189","PLA2G4F"
"8398","PLA2G6"
"151056","PLB1"
"11145","PLAAT3"
"54979","PLAAT2"
"54947","LPCAT2"
"79888","LPCAT1"
"254531","LPCAT4"
"10162","LPCAT3"
"10434","LYPLA1"
"23659","PLA2G15"
"11313","LYPLA2"
"10908","PNPLA6"
"375775","PNPLA7"
"56261","GPCPD1"
"1103","CHAT"
"43","ACHE"
"1119","CHKA"
"1120","CHKB"
"162466","PHOSPHO1"
"55500","ETNK1"
"55224","ETNK2"
"64850","ETNPPL"
"10400","PEMT"
"1040","CDS1"
"8760","CDS2"
"51365","PLA1A"
"9791","PTDSS1"
"81490","PTDSS2"
"23761","PISD"
"9489","PGS1"
"54675","CRLS1"
"6901","TAFAZZIN"
"9926","LPGAT1"
"79143","MBOAT7"
"8540","AGPS"
"387521","PEDS1"
"387522","PEDS1-UBE2V1"
"133121","ENPP6"
"5168","ENPP2"
"79153","GDPD3"
"284161","GDPD1"
"255043","TMEM86B"
"7368","UGT8"
"9514","GAL3ST1"
"5048","PAFAH1B1"
"5049","PAFAH1B2"
"5050","PAFAH1B3"
"7941","PLA2G7"
"5051","PAFAH2"
"5742","PTGS1"
"5743","PTGS2"
"9536","PTGES"
"80142","PTGES2"
"10728","PTGES3"
"873","CBR1"
"874","CBR3"
"127281","PRXL2B"
"3248","HPGD"
"6916","TBXAS1"
"5730","PTGDS"
"5740","PTGIS"
"240","ALOX5"
"4048","LTA4H"
"284273","PTGR3"
"145482","PTGR2"
"22949","PTGR1"
"8529","CYP4F2"
"4051","CYP4F3"
"4056","LTC4S"
"1573","CYP2J2"
"1557","CYP2C19"
"11283","CYP4F8"
"239","ALOX12"
"59344","ALOXE3"
"242","ALOX12B"
"247","ALOX15B"
"1555","CYP2B6"
"1558","CYP2C8"
"1559","CYP2C9"
"2053","EPHX2"
"246","ALOX15"
"9415","FADS2"
"10558","SPTLC1"
"9517","SPTLC2"
"55304","SPTLC3"
"2531","KDSR"
"10715","CERS1"
"29956","CERS2"
"79603","CERS4"
"204219","CERS3"
"253782","CERS6"
"91012","CERS5"
"427","ASAH1"
"56624","ASAH2"
"340485","ACER2"
"125981","ACER1"
"55331","ACER3"
"8560","DEGS1"
"123099","DEGS2"
"6609","SMPD1"
"6610","SMPD2"
"55512","SMPD3"
"55627","SMPD4"
"339221","ENPP7"
"64781","CERK"
"81537","SGPP1"
"130367","SGPP2"
"8877","SPHK1"
"56848","SPHK2"
"8879","SGPL1"
"7357","UGCG"
"9331","B4GALT6"
"2581","GALC"
"410","ARSA"
"2583","B4GALNT1"
"2760","GM2A"
"5660","PSAP"
"768239","PSAPL1"
"84002","B3GNT5"
"8708","B3GALT1"
"8707","B3GALT2"
"10317","B3GALT5"
"2523","FUT1"
"2524","FUT2"
"2525","FUT3"
"6484","ST3GAL4"
"124872","B4GALNT2"
"28","ABO"
"2527","FUT5"
"2528","FUT6"
"2529","FUT7"
"10402","ST3GAL6"
"6489","ST8SIA1"
"53947","A4GALT"
"8706","B3GALNT1"
"79369","B3GNT4"
"2651","GCNT2"
"127550","A3GALT2"
"26301","GBGT1"
"4668","NAGA"
"29906","ST8SIA5"
"8869","ST3GAL5"
"9197","SLC33A1"
"81849","ST6GALNAC5"
"30815","ST6GALNAC6"
"98","ACYP2"
"97","ACYP1"
"134526","ACOT12"
"197257","LDHD"
"2739","GLO1"
"3029","HAGH"
"4200","ME2"
"10873","ME3"
"4199","ME1"
"51179","HAO2"
"54363","HAO1"
"283871","PGP"
"81888","HYI"
"79611","ACSS3"
"55862","ECHDC1"
"116285","ACSM1"
"123876","ACSM2A"
"341392","ACSM4"
"54988","ACSM5"
"6296","ACSM3"
"348158","ACSM2B"
"142827","ACSM6"
"79944","L2HGDH"
"622","BDH1"
"1719","DHFR"
"200895","DHFR2"
"25902","MTHFD1L"
"4522","MTHFD1"
"10797","MTHFD2"
"441024","MTHFD2L"
"10840","ALDH1L1"
"160428","ALDH1L2"
"4524","MTHFR"
"10588","MTHFS"
"100528021","ST20-MTHFS"
"9054","NFS1"
"249","ALPL"
"248","ALPI"
"250","ALPP"
"251","ALPG"
"52","ACP1"
"27010","TPK1"
"79178","THTPA"
"55312","RFK"
"54","ACP5"
"53","ACP2"
"80308","FLAD1"
"645","BLVRB"
"55163","PNPO"
"8566","PDXK"
"57026","PDXP"
"493911","PHOSPHO2"
"554235","ASPDH"
"23475","QPRT"
"93100","NAPRT"
"54981","NMRK1"
"27231","NMRK2"
"349565","NMNAT3"
"64802","NMNAT1"
"23057","NMNAT2"
"83594","NUDT12"
"25961","NUDT13"
"55191","NADSYN1"
"10135","NAMPT"
"952","CD38"
"683","BST1"
"23098","SARM1"
"23411","SIRT1"
"22933","SIRT2"
"23410","SIRT3"
"23409","SIRT4"
"23408","SIRT5"
"51548","SIRT6"
"51547","SIRT7"
"65220","NADK"
"133686","NADK2"
"23530","NNT"
"4837","NNMT"
"53354","PANK1"
"79646","PANK3"
"80025","PANK2"
"79717","PPCS"
"60490","PPCDC"
"80347","COASY"
"60496","AASDHPPT"
"8876","VNN1"
"8875","VNN2"
"3141","HLCS"
"686","BTD"
"387787","LIPT2"
"11019","LIAS"
"51601","LIPT1"
"2643","GCH1"
"2356","FPGS"
"8836","GGH"
"5805","PTS"
"6697","SPR"
"5860","QDPR"
"84105","PCBD2"
"5092","PCBD1"
"4337","MOCS1"
"4338","MOCS2"
"10243","GPHN"
"55034","MOCOS"
"53630","BCO1"
"9249","DHRS3"
"10901","DHRS4"
"317749","DHRS4L2"
"10170","DHRS9"
"50700","RDH8"
"157506","RDH10"
"51109","RDH11"
"145226","RDH12"
"112724","RDH13"
"8608","RDH16"
"195814","SDR16C5"
"9227","LRAT"
"158835","AWAT2"
"8228","PNPLA4"
"6121","RPE65"
"5959","RDH5"
"8854","ALDH1A2"
"216","ALDH1A1"
"220","ALDH1A3"
"1592","CYP26A1"
"56603","CYP26B1"
"340665","CYP26C1"
"1562","CYP2C18"
"29785","CYP2S1"
"54905","CYP2W1"
"54884","RETSAT"
"339761","CYP27C1"
"124454","EARS2"
"2058","EPRS1"
"210","ALAD"
"3145","HMBS"
"7390","UROS"
"7389","UROD"
"1371","CPOX"
"5498","PPOX"
"2235","FECH"
"326625","MMAB"
"3162","HMOX1"
"3163","HMOX2"
"644","BLVRA"
"3052","HCCS"
"1356","CP"
"9843","HEPH"
"341208","HEPHL1"
"2395","FXN"
"2495","FTH1"
"2512","FTL"
"94033","FTMT"
"3156","HMGCR"
"4598","MVK"
"10654","PMVK"
"4597","MVD"
"3422","IDI1"
"91734","IDI2"
"2224","FDPS"
"9453","GGPS1"
"23590","PDSS1"
"57107","PDSS2"
"79947","DHDDS"
"116150","NUS1"
"2339","FNTA"
"2342","FNTB"
"100529261","CHURC1-FNTB"
"9986","RCE1"
"10269","ZMPSTE24"
"23463","ICMT"
"51449","PCYOX1"
"377677","CA13"
"759","CA1"
"765","CA6"
"766","CA7"
"771","CA12"
"11238","CA5B"
"23632","CA14"
"768","CA9"
"761","CA3"
"763","CA5A"
"767","CA8"
"760","CA2"
"762","CA4"
"10380","BPNT1"
"54928","BPNT2"
"6821","SUOX"
"58472","SQOR"
"23474","ETHE1"
"8991","SELENBP1"
"2052","EPHX1"
"6822","SULT2A1"
"1572","CYP2F1"
"1553","CYP2A13"
"1565","CYP2D6"
"107987478","LOC107987478"
"1564","CYP2D7"
"107987479","LOC107987479"
"8574","AKR7A2"
"22977","AKR7A3"
"246181","AKR7L"
"7172","TPMT"
"1066","CES1"
"8824","CES2"
"4353","MPO"
"6319","SCD"
"79966","SCD5"
"3992","FADS1"
