gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LDHA,23.55613394753543,0.8155805358277542,0.14090112493232868,5.788318128896823,7.109466853807391e-9,4.9979551982265954e-6
GAPDH,106.51425504997529,0.9788167972186531,0.19151411697633822,5.110938100399079,3.205630127366559e-7,1.1196972869140286e-4
MIF,11.015418307148733,0.8638612952186335,0.17157089988715482,5.035010574560197,4.778224552975939e-7,1.1196972869140286e-4
IDO1,3.0591696859545583,-1.3909714623064036,0.3031462715307162,-4.588449843973963,4.465495641447904e-6,7.848108589844691e-4
ADPGK,8.701405151436179,0.54763794776718,0.1225998282354632,4.466873695087041,7.937095804497767e-6,0.001115955670112386
NDUFA2,14.516169339858838,0.4999954153604853,0.11661789858230817,4.2874672021944535,1.8072193056100666e-5,0.0021174586197397947
HNMT,15.684972527514581,0.5206559994000115,0.124705425222084,4.17508699780135,2.9787219736712734e-5,0.0026025716641149706
NDUFV2,15.105100026936947,0.5250503971136186,0.1251202115047074,4.196367563635909,2.7122994104964836e-5,0.0026025716641149706
UQCR10,25.111682351808135,0.518130084298027,0.12486537979001884,4.149509537145891,3.3318840650120535e-5,0.0026025716641149706
UGP2,9.56524200972461,0.5060656156318661,0.12274880244280555,4.122774361629035,3.743363395446432e-5,0.0026315844669988417
ENPP2,6.9449730302037205,0.8790786483776731,0.2148822075051734,4.090979232687326,4.295555997573546e-5,0.002745250787540184
PTGDS,9.651674553309295,1.716135650235486,0.42865057944993984,4.0035771150425,6.239185073875798e-5,0.003655122589112239
UQCRQ,24.71085143790103,0.5107258560849048,0.12893287045173343,3.961176496695598,7.458137729562684e-5,0.00403313140298659
COX5B,35.78884731883582,0.5129320233711958,0.13102118633347729,3.9148784843519335,9.044974974466348e-5,0.004541869576464173
HEXA,20.58563368721376,0.48833412985841507,0.1252880459952215,3.8976913238557507,9.711409137193917e-5,0.004551413748964882
IDH1,9.432617701411417,0.5249824546576786,0.13589974821442116,3.8630127101440017,1.1199717819805462e-4,0.004631412721954847
SGMS2,2.3577459676986363,-0.9712179082738782,0.25138090517273026,-3.8635309535803026,1.1175972404980114e-4,0.004631412721954847
TPI1,33.85698019365557,0.5553914717396566,0.1470740425307367,3.776271204509705,1.5919365331484538e-4,0.0062173965711297945
NDUFC2,14.589157656915392,0.4123239494532469,0.11023844366179934,3.7402918234061437,1.8380672713478327e-4,0.006800848903986981
COX6B1,42.242458754583794,0.49847503431879187,0.13440133450257827,3.7088547979352797,2.081987730595232e-4,0.00731818687304224
COMT,17.65026210178777,0.4276678434657035,0.11582921041300781,3.6922279098751045,2.2229811509986337e-4,0.00744169404358114
COX17,11.521730150172052,0.4538059912216883,0.12455679328748014,3.6433660440686917,2.6909572653502844e-4,0.008304015573094597
TMEM258,19.36077592052256,0.4705757592139511,0.12924693728871572,3.6409045280722183,2.716818750799086e-4,0.008304015573094597
CES1,4.376762611864785,-0.79396404476887,0.2208136867618032,-3.5956287692679902,3.236090050267677e-4,0.009479047105575738
MGLL,4.300168559907713,-0.6494221846859852,0.18244762438502285,-3.559499263829803,3.715625748378863e-4,0.010448339604441362
GUK1,20.724920113993686,0.42259921463154687,0.12154675656211866,3.476844850364805,5.073513122469893e-4,0.012895917605565457
